id;aktenthema;organisations_einheit;akten_meter;haengend;standort
1;Toys;Mayotte applications;35542;true;null
2;capacitor Officer Accountability;archive Assistant;7500;true;null
3;Forward Assurance;Cheese payment Chief;94244;true;null
4;Costa;Dollar reintermediate Dynamic;71687;false;null
5;e-enable algorithm alarm;Regional Product JSON;29976;false;null
6;connect;Extension Handmade Account;49409;false;null
7;mobile Nordrhein-Westfalen;Specialist;54591;true;null
8;Garden;hacking programming Creative;57460;true;null
9;optimal matrix;digital Agent;23626;false;null
10;Peso Berlin e-tailers;Shirt overriding Schleswig-Holstein;73580;true;null
11;Ankauf;61;15;true;null
