id;gebaeude;raumnummer;etage;zusatz
1;Home Accounts Practical;3117;15909;Niedersachsen Soap Program
2;ADP JSON;62898;86280;e-business
3;24/7 compressing Rand;16569;75237;e-business Coordinator customized
4;withdrawal Rapid;14742;67545;navigating
5;Industrial back compressing;95651;33951;benchmark port benchmark
6;Unbranded;60163;7157;solid
7;Cotton success;90189;17620;Summit Territorium hacking
8;deploy Wooden;1163;96576;toolset bypass function
9;schemas;5416;48135;Hryvnia
10;Avon Soap human-resource;56629;79444;Brandenburg eyeballs Phased
12;Rathaus 1;17;2;U
13;Rathaus 1;7;4;
